Sample	Percent	Start	End	amp_del
TCGA-24-1553-01	0	0	0	amp
TCGA-24-1469-01	0	0	0	amp
TCGA-24-1564-01	0	0	0	amp
TCGA-24-0982-01	0	0	0	amp
TCGA-20-0987-01	0	0	0	amp
TCGA-04-1332-01	0	0	0	amp
TCGA-23-1028-01	0	0	0	amp
TCGA-23-1031-01	0	0	0	amp
TCGA-23-1021-01	0	0	0	amp
TCGA-24-0979-01	0	0	0	amp
TCGA-23-1032-01	0	0	0	amp
TCGA-23-1022-01	0	0	0	amp
TCGA-04-1336-01	0	0	0	amp
TCGA-24-0970-01	0	0	0	amp
TCGA-23-1119-01	0	0	0	amp
